Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Poland,Europe,9.8,15.41,9.3,11.62,165.58,67.45,Self reported,808,https://www.surveymonkey.com - 2015,1.57244898,1.249462366,2.454855448
Portugal,Europe,10.3,15.14,9,11.26,152.75,66.39,Self reported,894,Pereira N. Estudo do tamanho do pénis na população portuguesa. Rev Int Androl. 2004,1.469902913,1.251111111,2.300798313
Qatar,Western Asia,8.4,12.41,9,11.68,134.72,54.14,Measured,285,Shamsodini et all. Complications of penile augmentation ... Silicone (Doha 2012),1.477380952,1.297777778,2.488363502
Romania,Europe,8.7,12.73,8.2,10.25,106.43,46.55,Measured,368,"Mario De Siati, Oscar Selvaggio et all. 2015",1.463218391,1.25,2.286358754
Russian Federation,Asia,9.6,14.16,9.4,11.73,155.04,67.5,Measured,273,"Presidential hospital of Russia, Moscow, Russia 2015",1.475,1.24787234,2.296888889
Samoa,Pacific Islands,8.9,12.87,9.5,12.1,149.95,63.92,Measured,86,Genital size measure survey 2015,1.446067416,1.273684211,2.345901126
Saudi Arabia,Western Asia,8.4,12.4,9,11.61,133.01,54.14,Measured,880,Dr. Mohamed Habos. Masculine Genitals Behavior and Disease Clinic 2010,1.476190476,1.29,2.456778722
Scotland,Europe,9.7,14.3,9.3,11.65,154.45,66.76,Measured,610,Khan et al. 2012 Establishing a reference range for penile length in Caucasian British men: a prospective study of 609 men,1.474226804,1.252688172,2.313511084
Senegal,Africa,10.1,15.89,9.9,12.22,188.82,78.77,Measured,875,Teunis 2001,1.573267327,1.234343434,2.397105497
Serbia,Europe,10.1,14.78,10.4,12.98,198.16,86.93,Self reported,780,https://www.surveymonkey.com - 2015,1.463366337,1.248076923,2.279535258
Singapore,Southeast Asia,8.1,11.16,8.7,11.29,113.2,48.79,Measured,645,"King Chien Joe Lee, Gerald B. Brock -Dept. of Urology, National University Hospital, Singapore 2015",1.377777778,1.297701149,2.320147571
Syria,Western Asia,8.9,13.1,8.6,11.19,130.53,52.38,Measured,200,Genital size measure survey 2015,1.471910112,1.301162791,2.491981672
Slovak Republic,Europe,9.7,14.19,9.2,11.46,148.3,65.33,Self reported,300,http://tvnoviny.sk/zeny/top-tema/na-velkosti-penisu-zalezi-vieme-aky-zho-maju-slovaci.html,1.462886598,1.245652174,2.270013776
Slovenia,Europe,9.5,14.01,9.4,11.72,153.14,66.8,Self reported,208,https://www.surveymonkey.com - 2015,1.474736842,1.246808511,2.29251497
